num_epochs,H1,H2,lambda_,learning_rate,lr_decay,loss_val,acc_val
200,150,50,0.01,0.0001,True,0.06495406489017397,0.8201666666666667
200,100,50,0.1,0.0001,False,0.16263997577373962,0.8190833333333334
200,100,100,0.001,0.0001,True,0.051713062560790064,0.819
200,150,100,0.001,0.0001,True,0.05173426927871042,0.8186666666666667
200,100,100,0.1,0.0001,True,0.15438430750233287,0.8184166666666667
100,50,150,0.1,0.01,True,0.06099789842655488,0.8179166666666666
200,150,150,0.01,0.0001,False,0.0651925321708173,0.8179166666666666
200,100,150,0.001,0.0001,True,0.0517788409336982,0.8175
200,150,50,0.001,0.0001,False,0.05304333778649702,0.8175
200,100,150,0.001,0.0001,False,0.052594305933777105,0.8173333333333334
200,100,150,0.01,0.0001,True,0.06500906921993968,0.8170833333333334
200,100,50,0.01,0.0001,False,0.06567577959331009,0.817
200,50,50,0.1,0.0001,False,0.1598414622256176,0.8168333333333333
200,50,150,0.001,0.0001,False,0.053037771256198143,0.8161666666666667
100,50,100,0.1,0.01,True,0.06782416612303901,0.8159166666666666
200,100,50,0.001,0.0001,False,0.05247749103438116,0.8155833333333333
200,150,50,0.01,0.0001,False,0.06533059627954693,0.8155
200,50,50,0.1,0.0001,True,0.15999107953511554,0.8155
200,50,100,0.1,0.0001,True,0.15635436466279937,0.8153333333333334
100,100,50,0.01,0.01,True,0.06101769365923525,0.81525
200,150,100,0.01,0.0001,True,0.06533378300089884,0.8149166666666666
200,150,100,0.001,0.0001,False,0.05249816062923182,0.81475
200,100,50,0.01,0.0001,True,0.06658034259864927,0.8143333333333334
200,50,150,0.1,0.0001,True,0.15281081478179231,0.8140833333333334
200,50,150,0.1,0.0001,False,0.15199918692202752,0.814
200,100,100,0.01,0.0001,True,0.06469467252885226,0.8139166666666666
200,50,150,0.001,0.0001,True,0.05367510904292893,0.8131666666666667
200,150,50,0.001,0.0001,True,0.05301900141931455,0.8128333333333333
200,100,100,0.001,0.0001,False,0.0514494657182508,0.8125833333333333
200,150,150,0.001,0.0001,False,0.05348619059994691,0.81225
200,50,150,0.01,0.0001,False,0.06588125547002653,0.8114166666666667
200,50,100,0.01,0.0001,True,0.06691690993103347,0.8110833333333334
200,50,100,0.001,0.0001,True,0.054512477725413386,0.8110833333333334
200,150,150,0.1,0.01,False,0.056387386007402424,0.8106666666666666
200,50,100,0.1,0.0001,False,0.15704682872055048,0.8105833333333333
100,150,150,0.1,0.0001,True,0.17476295339737624,0.8103333333333333
200,50,50,0.01,0.0001,True,0.06780043534953284,0.8095833333333333
200,150,50,0.1,0.01,False,0.08434196204859831,0.8093333333333333
200,50,150,0.01,0.0001,True,0.06693416913673918,0.8090833333333334
200,100,50,0.001,0.0001,True,0.054443598777732735,0.8085
200,50,100,0.01,0.0001,False,0.06628714143161674,0.8076666666666666
200,50,50,0.001,0.0001,False,0.05462540862451768,0.8073333333333333
200,50,150,0.1,0.01,True,0.06344396640776516,0.80675
100,100,150,0.01,0.0001,False,0.06809248749694578,0.80675
100,150,100,0.1,0.0001,True,0.17864767437133183,0.8050833333333334
200,50,50,0.01,0.0001,False,0.06863667220436705,0.8044166666666667
100,150,150,0.1,0.0001,False,0.17573579846788487,0.8043333333333333
200,50,100,0.001,0.0001,False,0.05456781870656965,0.8041666666666667
100,150,100,0.01,0.0001,False,0.06896276332662839,0.8035833333333333
100,150,150,0.01,0.0001,False,0.06864710801693764,0.8031666666666667
200,50,100,0.01,0.01,False,0.06432577709972005,0.80275
100,150,100,0.001,0.0001,False,0.05644684279743848,0.8025
100,150,50,0.01,0.0001,False,0.06984686877546203,0.8021666666666667
100,150,50,0.1,0.0001,False,0.18597633119499582,0.8019166666666667
100,150,100,0.1,0.0001,False,0.17392227611829422,0.8016666666666666
200,50,50,0.001,0.0001,True,0.05603445883438601,0.8015833333333333
100,100,100,0.001,0.0001,False,0.05812265014884622,0.8011666666666667
100,100,100,0.1,0.0001,False,0.17691313264493386,0.801
100,100,100,0.1,0.0001,True,0.17514174160244403,0.80075
100,150,150,0.01,0.0001,True,0.07100109948318499,0.8004166666666667
100,150,100,0.001,0.0001,True,0.056892866688008796,0.8000833333333334
100,100,50,0.1,0.0001,True,0.18237192917223857,0.7999166666666667
100,150,150,0.001,0.0001,False,0.05739957400088063,0.79975
100,150,150,0.001,0.0001,True,0.0581486291675303,0.7979166666666667
100,100,150,0.01,0.0001,True,0.07110673936899009,0.79775
100,100,150,0.1,0.0001,True,0.17536379800033913,0.7976666666666666
100,100,100,0.01,0.0001,True,0.07060925394226415,0.7970833333333334
100,100,50,0.1,0.0001,False,0.18604372516950457,0.7960833333333334
100,50,100,0.01,0.0001,True,0.071397649916366,0.7954166666666667
100,100,150,0.001,0.0001,False,0.05782789749691641,0.7953333333333333
100,100,100,0.01,0.0001,False,0.07154834237844364,0.795
100,100,150,0.1,0.0001,False,0.17762430292315057,0.795
100,100,150,0.001,0.0001,True,0.0585686566922318,0.79475
100,150,100,0.01,0.0001,True,0.07216461012349118,0.7946666666666666
200,100,150,0.1,0.01,False,0.07479426631764602,0.7943333333333333
100,150,50,0.01,0.0001,True,0.07280705178520641,0.7940833333333334
100,150,50,0.001,0.0001,False,0.05902240173779854,0.794
100,50,150,0.1,0.0001,True,0.17901579613674887,0.7939166666666667
100,100,100,0.001,0.0001,True,0.057920549143579754,0.7933333333333333
100,50,100,0.1,0.0001,True,0.18095196005399491,0.7923333333333333
100,150,50,0.1,0.0001,True,0.18748760889161786,0.7919166666666667
100,100,50,0.001,0.0001,False,0.058707457237963195,0.7919166666666667
100,50,100,0.1,0.0001,False,0.1774446278284623,0.79175
100,100,50,0.01,0.0001,True,0.07253341395224151,0.7906666666666666
100,50,150,0.001,0.0001,True,0.05864033454500412,0.7905
100,100,50,0.001,0.0001,True,0.06016060042420492,0.7903333333333333
100,50,50,0.01,0.0001,True,0.07361749923868056,0.7896666666666666
100,50,150,0.1,0.0001,False,0.18586941907192728,0.7895833333333333
100,150,50,0.001,0.0001,True,0.059786284542736004,0.7891666666666667
100,50,150,0.01,0.0001,False,0.07323384670951454,0.7891666666666667
100,50,50,0.1,0.0001,False,0.19408142167744846,0.7885833333333333
100,100,50,0.01,0.0001,False,0.07435545671325781,0.7875
100,50,50,0.1,0.0001,True,0.18635485962500112,0.7855
100,50,100,0.01,0.0001,False,0.07320833728637918,0.7846666666666666
100,50,150,0.001,0.0001,False,0.06095032622357945,0.7830833333333334
100,50,100,0.001,0.0001,True,0.061067372784695054,0.783
100,50,150,0.01,0.0001,True,0.07331960807997427,0.7826666666666666
100,50,100,0.001,0.0001,False,0.0617535727039142,0.7826666666666666
100,50,50,0.001,0.0001,True,0.060951747647736074,0.7795833333333333
100,50,50,0.01,0.0001,False,0.07622253815899557,0.7773333333333333
200,100,100,0.01,0.01,False,0.07199750934904532,0.7765833333333333
100,50,50,0.001,0.0001,False,0.0618076926706538,0.77625
200,150,100,0.1,0.01,True,0.07716304220094558,0.7543333333333333
100,50,50,0.1,0.01,True,0.11022368194881808,0.7315833333333334
200,150,100,0.1,0.01,False,0.15297174656159632,0.5120833333333333
200,100,50,0.1,0.01,False,0.1663598747359346,0.51075
200,150,50,0.1,0.01,True,0.3332852598745355,0.39466666666666667
